label,aspect,domain,range,skos,prefix,uri
foaf:name,Author,foaf:Person,xsd:string,,foaf,http://xmlns.com/foaf/0.1/
foaf:familyName,Author,foaf:Person,xsd:string,,foaf,http://xmlns.com/foaf/0.1/
foaf:givenName,Author,foaf:Person,xsd:string,,foaf,http://xmlns.com/foaf/0.1/
dcterms:creator,ScholarlyWork,bibo:Article,foaf:Person,,dcterms,http://purl.org/dc/terms/
dcterms:date,ScholarlyWork,bibo:Article,xsd:string,,dcterms,http://purl.org/dc/terms/
dcterms:created,ScholarlyWork,bibo:Article,xsd:string,,dcterms,http://purl.org/dc/terms/
dcterms:title,ScholarlyWork,bibo:Article,xsd:string,,dcterms,http://purl.org/dc/terms/
litrev:researchApproach,ResearchApproach,bibo:Article,Thesaurus,MethodsThesaurus,rm,http://www.learn-web.com/thesauri/research_methods/
litrev:learningOutcome,LearningOutcome,bibo:Article,Thesaurus,OutcomesThesaurus,lo,http://www.learn-web.com/thesauri/learning_outcomes/
litrev:bloomOutcome,BloomLearningOutcome,bibo:Article,Thesaurus,BloomThesaurus,bloom,http://www.learn-web.com/thesauri/bloom_outcomes/
litrev:pedagogy,Pedagogy,bibo:Article,Thesaurus,PedagogyThesaurus,envped,http://www.learn-web.com/thesauri/envedped/
litrev:educationLevel,EducationLevel,bibo:Article,Thesaurus,EducationLevel,edlevel,http://www.learn-web.com/thesauri/educlevels/
litrev:technology,Technology,bibo:Article,Thesaurus,TechnologyThesaurus,tech,http://www.learn-web.com/thesauri/technologies/
litrev:science,Science,bibo:Article,Thesaurus,ScienceThesaurus,sci,http://www.learn-web.com/thesauri/sciences/
litrev:learningTime,Duration,bibo:Article,xsd:duration,,litrev,http://www.learn-web.com/2023/litrev/
cito:cites,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:isCitedBy,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:agreesWith,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:citesAsAuthority,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:citesAsDataSource,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:citesAsEvidence,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:citesAsPotentialSolution,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:citesAsRecommendedReading,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:citesAsRelated,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:citesAsSourceDocument,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:citesForInformation,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:confirms,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:corrects,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:credits,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:critiques,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:derides,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:disagreesWith,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:discusses,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:disputes,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:documents,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:extends,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:givesBackgroundTo,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:givesSupportTo,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:hasCitationCreationDate,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:likes,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:providesConclusionFor,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
cito:providesDataFor,Citation,bibo:Article,bibo:Article,,cito,http://purl.org/spar/cito/
